source_cluster,destination_cluster,hour, count, passengers, fare, trip time, trip distance, JFK trips, credit payments, cash payments
15,18,2,108,1.63,63.27,31.92,19.59,1,0.71,0.29
2,18,14,884,1.85,28.24,33.58,5.98,0,0.58,0.42
18,22,23,19,1.42,66.54,37.53,17.05,0,0.63,0.37
18,3,4,163,1.71,31.42,22.37,9.76,0,0.4,0.57
9,7,5,110,1.51,13.33,9.66,3.03,0,0.25,0.74
15,9,23,1177,1.68,42.57,27.18,13.07,0,0.52,0.47
15,21,8,239,1.48,41.05,38.87,11.98,0.01,0.48,0.51
9,7,0,352,1.74,12.41,13.34,2.54,0,0.35,0.64
2,12,21,127,1.72,32.46,35.58,7.89,0.01,0.65,0.34
3,3,3,158,1.39,12.07,7.96,2.64,0,0.33,0.65
15,12,15,210,1.73,39.26,42.36,11.03,0,0.28,0.71
9,10,20,381,1.65,23.41,15.89,5.18,0.01,0.67,0.33
2,7,11,42,2,33.31,28.55,9.01,0,0.57,0.43
3,3,20,100,1.69,13.32,9.95,2.67,0.01,0.4,0.59
7,10,4,448,1.74,15.2,14.14,3.6,0,0.23,0.76
5,20,17,595,1.73,40.5,43.84,9.84,0,0.57,0.42
15,12,12,169,1.86,39.77,29.57,11.62,0.01,0.36,0.63
18,12,20,42,1.67,48.69,35.26,12.1,0,0.67,0.31
3,29,4,8,1.13,20.11,13.5,5.71,0,0.25,0.75
28,10,22,1274,1.69,13.26,10.59,2.52,0,0.56,0.44
5,14,22,31,2,74.58,38.13,17.71,0,0.81,0.19
21,15,0,90,1.68,36.47,19.18,11.32,0,0.56,0.43
18,15,2,14,1.71,57.88,33.79,19.03,0.86,0.5,0.43
18,3,8,237,1.71,38.77,28.34,10.37,0,0.6,0.4
23,12,13,15,1.73,39.56,28.2,8.69,0.07,0.6,0.4
9,29,22,14,1.57,26.84,20.64,8.87,0,0.71,0.29
5,1,6,59,2.03,53.65,32.05,18.07,0,0.47,0.51
21,9,15,606,1.67,34.77,37.43,8.81,0,0.57,0.42
7,29,14,8,2.13,33.64,32.63,8.98,0,0.38,0.63
7,29,1,12,1.92,31.53,22.67,8.45,0,0.58,0.42
18,23,1,504,1.76,17.07,17.09,3.62,0,0.64,0.36
15,12,21,212,1.7,37.81,24.25,11.03,0,0.41,0.59
5,12,21,486,1.63,46.39,35.24,11.79,0.01,0.69,0.3
10,21,1,17,1.71,38.42,23.41,10.43,0,0.59,0.41
23,20,1,210,1.69,38.52,32.02,10.89,0,0.72,0.28
3,28,5,14,2.07,12.33,9.21,2.85,0,0.5,0.5
9,3,22,108,1.66,22.01,16.94,5.46,0,0.38,0.61
15,28,13,174,1.67,64.18,52.03,19.11,0.97,0.57,0.43
2,7,20,237,1.7,35.66,26.18,9.47,0,0.73,0.27
7,18,17,19,2.05,28.31,34.26,5.29,0,0.47,0.53
7,3,20,47,1.91,19.2,15.55,4.67,0,0.43,0.57
5,2,21,25065,1.69,19.35,17.6,135.06,0,0.76,0.24
3,18,0,11,2,55.3,22.82,11.99,0.64,0.73,0.27
28,10,14,1028,1.64,13.21,13.28,2.29,0,0.48,0.52
5,7,3,4250,1.73,24.38,20.79,6.4,0,0.47,0.52
2,9,12,260,1.77,31.36,27.23,7.67,0,0.62,0.37
2,23,14,2051,1.74,12.43,12.04,2.07,0,0.61,0.39
15,7,2,63,1.57,39.4,20.11,12.19,0,0.49,0.51
18,5,15,19251,1.74,14.86,17.92,2.26,0,0.53,0.47
18,2,9,1572,1.73,28.47,29.24,6.33,0,0.67,0.33
15,21,3,23,1.83,45.29,19.65,13.11,0,0.52,0.48
18,10,7,10665,1.62,11.5,11.06,1.96,0,0.62,0.38
15,20,14,237,1.84,63.57,61.68,20.89,0.51,0.29,0.7
5,21,18,3306,1.72,51.86,34.71,11.09,0,0.8,0.2
28,20,17,189,1.62,18.35,18.81,3.43,0,0.48,0.51
21,9,6,35,1.43,18.66,12.8,5.01,0,0.43,0.54
10,18,23,7488,1.68,11.91,9.37,2.12,0,0.63,0.37
10,20,2,482,1.67,26.32,17.29,7.51,0,0.47,0.52
15,20,21,322,1.7,63.85,39.92,20.72,0.54,0.5,0.49
3,5,7,112,1.62,40.92,40.39,9.33,0.22,0.6,0.4
5,8,9,13,2,63.14,37.15,16.66,0,0.69,0.31
15,5,9,2356,1.84,63.85,55.94,17.98,0.99,0.61,0.39
1,1,14,12,1.25,18.06,15.25,3.51,0,0.42,0.58
9,9,13,190,1.62,13.82,11.57,2.93,0.01,0.37,0.62
15,7,19,430,1.78,42.04,33.11,12.79,0.02,0.44,0.55
9,2,17,110,1.82,38.57,34.92,8.6,0.05,0.78,0.22
7,7,9,673,1.67,9.76,8.11,1.73,0,0.29,0.71
20,3,6,22,2,25.33,20.64,6.57,0,0.59,0.41
18,23,20,2136,1.72,18.66,17.16,3.73,0,0.72,0.27
10,2,6,1994,1.52,24.56,15.14,6.85,0,0.73,0.27
23,29,23,8,1.63,62.25,46,16.17,0,0.63,0.38
10,20,1,628,1.72,25.82,17.15,7.22,0,0.55,0.43
23,3,3,187,1.79,42.27,28.56,12.52,0,0.47,0.51
7,10,2,327,1.64,15.38,11.51,3.47,0,0.35,0.64
9,21,3,37,1.51,22.09,12.38,5.57,0,0.7,0.3
21,10,5,32,1.34,30.72,23.94,7.67,0,0.59,0.41
5,9,16,958,1.71,41.51,42.43,8.33,0.01,0.71,0.29
21,9,23,995,1.61,31.98,21.07,8.96,0,0.65,0.35
18,7,23,826,1.7,26.02,27.65,5.85,0,0.57,0.43
21,2,22,1660,1.73,44.33,26.7,12.16,0,0.84,0.16
10,7,13,554,1.68,19.13,18.82,4.08,0,0.42,0.58
7,3,8,159,1.65,20.42,15.28,5.19,0,0.52,0.48
12,29,19,2,1,35.83,16.5,7,0,0.5,0
5,18,8,14235,1.64,12.84,14.08,2.06,0,0.61,0.38
18,5,22,28154,1.75,14.46,14.53,13.21,0,0.61,0.38
2,12,13,72,1.82,26.03,22.35,5.86,0.04,0.58,0.42
9,28,0,28,1.43,33.84,22.18,7.79,0,0.79,0.21
2,29,20,24,1.37,57.04,40.58,17.07,0,0.87,0.13
2,3,2,215,1.73,33.49,22.19,9.83,0,0.54,0.44
5,8,1,40,1.35,64.6,36.25,18.4,0,0.6,0.38
15,1,12,63,1.33,63.98,35.35,16.81,0,0.51,0.48
7,18,9,67,1.75,23.7,26.55,5,0,0.37,0.63
10,7,18,821,1.66,19.77,17.96,4.18,0,0.46,0.54
18,12,12,22,1.41,45.38,39.46,12.02,0,0.41,0.55
10,8,14,4,2,64.8,40.5,14.38,0,0.75,0.25
23,9,22,462,1.75,35.81,31.59,8.33,0,0.78,0.21
10,21,8,1472,1.72,38.26,21.69,8.81,0,0.77,0.23
5,25,11,10,1.5,73.61,42,17.37,0,0.7,0.3
9,7,3,249,1.69,13.76,15.47,3.13,0,0.39,0.61
21,9,22,974,1.66,33.24,23.19,9.2,0,0.64,0.36
28,2,12,35,2,38.8,33.83,9.8,0,0.83,0.17
5,7,0,6524,1.7,27.42,26.29,6.25,0,0.57,0.43
10,23,23,896,1.79,25.15,26.45,5.65,0,0.73,0.26
23,20,21,197,1.66,38.11,34.05,10.53,0,0.75,0.25
15,22,18,48,1.71,40.27,31.65,12.56,0.02,0.25,0.75
15,22,9,30,1.63,40.08,24.77,12.59,0,0.17,0.83
5,12,20,360,1.6,47.06,35.36,11.73,0.02,0.71,0.27
20,5,6,77,1.39,30.69,20.92,8.6,0,0.79,0.21
3,9,2,56,1.59,16.05,11.39,3.78,0,0.37,0.63
3,28,3,18,1.72,13.31,9.56,2.52,0,0.22,0.72
3,9,8,18,1.83,19.66,17.22,5.1,0,0.22,0.78
28,10,3,304,1.5,12.4,13.23,2.53,0,0.4,0.59
5,2,8,18497,1.64,19.49,18.46,4.12,0,0.71,0.29
18,10,12,16512,1.66,12.03,12.76,1.88,0,0.56,0.44
9,15,0,3,2.67,17.47,13.67,4.68,0,0,1
15,7,13,308,1.66,44.22,42.57,13.05,0.01,0.32,0.67
15,29,9,210,1.71,22.51,16.51,6.54,0,0.25,0.73
18,5,11,24046,1.68,14.52,16.82,2.28,0,0.57,0.42
5,28,21,4435,1.68,25.46,22.57,6.15,0,0.74,0.25
2,20,10,38,2,44.91,36.53,13,0,0.53,0.45
18,2,11,1185,1.74,29.09,31.15,6.39,0,0.64,0.36
21,20,10,177,2.09,42.57,28.01,10.88,0,0.48,0.51
7,9,4,286,1.81,15.17,11.68,3.67,0,0.25,0.74
15,23,12,230,1.71,64.45,64.81,20.92,0.96,0.64,0.35
10,18,8,13385,1.64,11.72,11.74,1.85,0,0.67,0.33
21,25,22,18,1.56,54.8,25.28,14.78,0,0.56,0.44
23,12,14,13,1.62,40.11,28.92,7.91,0,0.77,0.23
10,23,7,1511,1.59,26.6,23.4,6.55,0,0.79,0.21
21,13,19,19,2.21,36.93,26.16,9.83,0,0.42,0.58
23,9,4,304,1.89,30.07,29.67,8.17,0,0.51,0.48
13,29,4,1,2,34.3,24,11.2,0,0,1
